"","Estimate","Cluster s.e.","t value","Pr(>|t|)","model","var","n","star"
"rain.dummy m1",0.0187862420468983,0.00550779242720188,3.41084786603737,0.000647709072155216,"m1","rain.dummy",309648,"***"
"Holiday m1",-0.104397897237797,0.00965536507616152,-10.8124236022466,3.04603174051155e-27,"m1","Holiday",309648,"***"
"SLI m1",-0.0256829269413875,0.00458146074972162,-5.60583803821697,2.07455780491276e-08,"m1","SLI",309648,"***"
"moto m1",0.106867479095771,0.0292307408256288,3.65599625863989,0.000256234772173564,"m1","moto",309648,"***"
"SLI:marg.ratio m1",-0.0723759876668803,0.0154001139575311,-4.69970468182714,2.60669083503503e-06,"m1","SLI:marg.ratio",309648,"***"
"rain.dummy m2",0.0188341507869831,0.00551146970849575,3.41726468312997,0.000632632834284648,"m2","rain.dummy",309648,"***"
"Holiday m2",-0.104260569172011,0.00962199800641951,-10.8356465156666,2.36428655686936e-27,"m2","Holiday",309648,"***"
"SLI m2",-0.0177740226938346,0.00329800514073272,-5.38932534528608,7.07830308819469e-08,"m2","SLI",309648,"***"
"moto m2",0.108515912294099,0.029435571458615,3.68655700965981,0.000227354018407489,"m2","moto",309648,"***"
"SLI:marg.ratio m2",-0.0656663697433255,0.0150900641993124,-4.35162958062946,1.35180072521898e-05,"m2","SLI:marg.ratio",309648,"***"
"SLI:ratio.marg_spill_1000 m2",-0.0354919430187108,0.00882631013074329,-4.02115294987056,5.79300628107391e-05,"m2","SLI:ratio.marg_spill_1000",309648,"***"
"SLI:ratio.marg_spill_3000 m2",-0.0181496912004114,0.0053806832912647,-3.37312014440185,0.000743321885701305,"m2","SLI:ratio.marg_spill_3000",309648,"***"
"SLI:ratio.marg_spill_5000 m2",-0.0114773218885956,0.00469981734256904,-2.44207828773231,0.0146036309487346,"m2","SLI:ratio.marg_spill_5000",309648,"*"
"moto m3",0.0196598865568646,0.0190319681871635,1.03299282362844,0.301608216647565,"m3","moto",309648," "
"SLI:marg.ratio m3",-0.0587432063833366,0.0138902098887481,-4.22910862066398,2.34699042317628e-05,"m3","SLI:marg.ratio",309648,"***"
"SLI:ratio.marg_spill_1000 m3",-0.0383356127266093,0.0079285491100816,-4.83513593651875,1.33130410532975e-06,"m3","SLI:ratio.marg_spill_1000",309648,"***"
"SLI:ratio.marg_spill_3000 m3",-0.0188831476835384,0.00477285311549217,-3.95636472076747,7.61190965184204e-05,"m3","SLI:ratio.marg_spill_3000",309648,"***"
"SLI:ratio.marg_spill_5000 m3",-0.0153926588616852,0.00464120974737995,-3.31651868790775,0.000911589577162796,"m3","SLI:ratio.marg_spill_5000",309648,"***"
"moto m4",0.0219665721987618,0.0195915276758084,1.12122814321857,0.262191797374211,"m4","moto",309648," "
"SLI:ratio.marg_spill_1000 m4",-0.0383276470034103,0.00793632838100594,-4.82939278257941,1.37027623929412e-06,"m4","SLI:ratio.marg_spill_1000",309648,"***"
"SLI:ratio.marg_spill_3000 m4",-0.0188894963058551,0.00476862246628415,-3.96120607982924,7.45919704949745e-05,"m4","SLI:ratio.marg_spill_3000",309648,"***"
"SLI:ratio.marg_spill_5000 m4",-0.0153877952018339,0.00464575298582955,-3.31222844795443,0.000925685308776218,"m4","SLI:ratio.marg_spill_5000",309648,"***"
"marg.ratio:SLI:poff-peak m4",-0.0616479113520532,0.0129082101001547,-4.77586829418856,1.79030607869437e-06,"m4","marg.ratio:SLI:poff-peak",309648,"***"
"marg.ratio:SLI:ppeak m4",-0.0561018466714988,0.0180466878163893,-3.10870599870128,0.00187928846921641,"m4","marg.ratio:SLI:ppeak",309648,"**"
